A1BG--AGXT
A1BG--C3
A1BG--FGA
A1BG--ITIH4
A2M--ALB
A2M--APOA2
A2M--CHMP1A
A2M--FGG
A2M--IGFBP7
A2M--SFTPC
A2M--SRSF2
A2ML1--KRT13
A2ML1--KRT4
A2ML1--PHC1
AACS--SLC44A4
AACS--UBC
AADACL2-AS1--EXOC2
AAK1--GFPT1
AARS--FAM114A1
AASS--CADPS2
AASS--RBMS3
ABAT--ALB
ABC7-42404400C24.1--ZCCHC8
ABCA1--SLC44A1
ABCA5--CLIC4
ABCB8--ASIC3
ABCB9--MAGEH1
ABCC11--SIAH1
ABCC2--BHMT
ABCC3--HSPA1A
ABCC3--HSPA1B
ABCC5--PRKCB
ABHD2--FANCI
ABLIM1--COL4A2
ABLIM1--EFL1
ABLIM2--AFAP1
ABR--ATP6V1H
ABR--CDYL
AC002066.1--AC073130.1
AC002066.1--CAV1
AC002398.12--CALM1
AC002398.12--KRT13
AC002398.12--MYH11
AC002398.12--SMTN
AC003090.1--JAZF1
AC004549.6--HIBADH
AC004549.6--MT-ND2
AC004901.1--AC011294.3
AC005037.3--NDUFB3
AC005614.5--PAFAH1B1
AC005944.2--HBB
AC006486.9--CIC
AC006486.9--NOC4L
AC007040.11--MCEE
AC007326.13--GPI
AC009120.4--CFDP1
AC009133.12--ALDOA
AC009133.12--CTAGE5
AC009133.12--GPR108
AC009133.12--IGH@
AC009133.12--NOC4L
AC009133.12--RP11-407N17.3
AC009403.2--INTS2
AC012506.3--AC016768.1
AC015923.1--BCAS3
AC015923.1--NLK
AC016907.3--ALK
AC019349.5--BPIFB1
AC019349.5--CRNN
AC019349.5--CSRNP1
AC019349.5--KRT14
AC019349.5--KRT16
AC019349.5--KRT6A
AC019349.5--LY6D
AC019349.5--MT-ATP8
AC019349.5--MT-CYB
AC019349.5--SPINK5
AC019349.5--SPRR3
AC024084.1--AC009784.3
AC024592.12--TP53TG5
AC026188.1--CRBN
AC027119.1--AC026167.1
AC053503.6--ACTB
AC053503.6--DHCR24
